Product_id,Discounted price,Actual price,Discount %,Rating,Rating count,User id,savings,total revenue,top rating products,top  20  products  by revenue,
B07JW9H4J999,"$77,990.00","$139,900.00",44%,4.70,"5,935",AGL3JTQ3ZE2OROHL44I2WVDP2Y2A,"$61,910.00","$462,870,650.00",high rated,discounted  av,
B07JW9H4J998,"$61,999.00","$69,999.00",11%,4.10,"6,753",AGZD3RPRHHX2DKW6TEB65JLH5S5A,"$8,000.00","$418,679,247.00",high rated,actual pric av,"$6,088.45"
B07JW9H4J997,"$54,990.00","$85,000.00",35%,4.30,"3,587",AHUGCKS7YANTMDYINXQG2UDTU4JQ,"$30,010.00","$197,249,130.00",high rated,,
B07JW9H4J995,"$47,990.00","$70,900.00",32%,4.30,"7,109",AF2544C4RGIBQX7Y4JMKMSMXMRRQ,"$22,910.00","$341,160,910.00",high rated,discount av,50%
B07JW9H4J996,"$47,990.00","$79,990.00",40%,4.30,"1,376",AHPBU5B6HIJJUIPIX6GIPYKPNZ3A,"$32,000.00","$66,034,240.00",high rated,rating av,4.12
B07JW9H4J994,"$46,999.00","$69,999.00",33%,4.30,"21,252",AHZNSNBVKQR4OGJAQHE4DCDA4YHA,"$23,000.00","$998,822,748.00",high rated,saving av,"$2,556.36"
B07JW9H4J993,"$45,999.00","$69,900.00",34%,4.30,"7,109",AGAELRYPMTG5SADZPDYB343EASAA,"$23,901.00","$327,006,891.00",high rated,total rev av,"$50,937,989.29"
B07JW9H4J992,"$44,999.00","$49,999.00",10%,4.30,"3,075",AEWW4LJOVXD65UKE7QCBCHQZMG7A,"$5,000.00","$138,371,925.00",high rated,,
B07JW9H4J991,"$42,999.00","$59,999.00",28%,4.10,"6,753",AHH74UTDYQPVBMM4HEEMRAU2DNMQ,"$17,000.00","$290,372,247.00",high rated,,
B07JW9H4J990,"$37,999.00","$65,000.00",42%,4.30,"3,587",AELO5I776X3QUOQZ7AEEFC565CYA,"$27,001.00","$136,302,413.00",high rated,,
B07JW9H4J99,"$37,990.00","$74,999.00",49%,4.20,"27,790",AHAZZ6OGFULNRHTS2SR7HAH223NA,"$37,009.00","$1,055,742,100.00",high rated,,
B07JW9H4J989,"$37,247.00","$59,890.00",38%,4.00,323,AE6YWSEP7SYHCL2F5WLM3JLAPTDA,"$22,643.00","$12,030,781.00",high rated,,
B07JW9H4J988,"$35,999.00","$49,990.00",28%,4.30,"1,611",AHHN6OTOZ24Z3BWFJHUPDGRMSVCA,"$13,991.00","$57,994,389.00",high rated,,
B07JW9H4J987,"$34,999.00","$38,999.00",10%,4.20,"11,029",AGG35S7QJCAA7Y4FOAUY6IXKP75Q,"$4,000.00","$386,003,971.00",high rated,,
