Product id,trim  and clean product_id,clean product_id,category,clean(trim(discounted_price)),"SUBSTITUTE(SUBSTITUTE(F2, ""?"", """"), "","", """")
",Convert Text to Numbers in Excel (Browser Version),cleantrim(),"SUBSTITUTE(SUBSTITUTE(F2, ""?"", """"), "","", """")",Convert Text to Numbers in Excel (Browser Version),discount_percentage,rating,rating_count,"user_id (LEFT(, FIND("","", A2)-1) use this if id has too long strings)",cleantrimuserid,product_link
B07JW9H4J1,B07JW9H4J1,B07JW9H4J1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399, 399 ,$399.00,"₹1,099",1099,"$1,099.00",64%,4.2,"24,269",AG3D6O4STAQKAY2UVGEUV46KN35Q,AG3D6O4STAQKAY2UVGEUV46KN35Q,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1
B07JW9H4J2,B07JW9H4J2,B07JW9H4J2,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199, 199 ,$199.00,₹349,349,$349.00,43%,4,"43,994",AECPFYFQVRUWC3KGNLJIOREFP5LQ,AECPFYFQVRUWC3KGNLJIOREFP5LQ,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2
B07JW9H4J3,B07JW9H4J3,B07JW9H4J3,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199, $199.00 ,$199.00,"₹1,899",1899,"$1,899.00",90%,3.9,"7,928",AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3
B07JW9H4J4,B07JW9H4J4,B07JW9H4J4,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹329, 329 ,$329.00,₹699,699,$699.00,53%,4.2,"94,363",AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4
B07JW9H4J5,B07JW9H4J5,B07JW9H4J5,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹154, 154 ,$154.00,₹399,399,$399.00,61%,4.2,"16,905",AE3Q6KSUK5P75D5HFYHCRAOLODSA,AE3Q6KSUK5P75D5HFYHCRAOLODSA,https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5
B07JW9H4J6,B07JW9H4J6,B07JW9H4J6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹149, 149 ,$149.00,"₹1,000",1000,"$1,000.00",85%,3.9,"24,871",AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6
B07JW9H4J7,B07JW9H4J7,B07JW9H4J7,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹176.63, $176.63 ,$176.63,₹499,499,$499.00,65%,4.1,"15,188",AG7C6DAADCTRQJG2BRS3RIKDT52Q,AG7C6DAADCTRQJG2BRS3RIKDT52Q,https://www.amazon.in/boAt-Micro-USB-Tangle-Free-Transmission/dp/B08WRWPM22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8
B07JW9H4J8,B07JW9H4J8,B07JW9H4J8,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹229, 229 ,$229.00,₹299,299,$299.00,23%,4.3,"30,411",AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9
B07JW9H4J9,B07JW9H4J9,B07JW9H4J9,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹499, 499 ,$499.00,₹999,999,$999.00,50%,4.2,"1,79,691",AGV3IEFANZCKECFGUM42MRH5FNOA,AGV3IEFANZCKECFGUM42MRH5FNOA,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10
B07JW9H4J10,B07JW9H4J10,B07JW9H4J10,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199, 199 ,$199.00,,299,$299.00,33%,4,"43,994",AGYLPKPZHVYKKZHOTHCTYVEDAJ4A,AGYLPKPZHVYKKZHOTHCTYVEDAJ4A,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11
